study,questionnaire,question,item,dataset,variable,concept
soep-is,soep-is-2012-haupt,Q134,bgew,MB12_IS_W4,bgew,
soep-is,soep-is-2012-haupt,Q134B,bgro,MB12_IS_W4,bgro,
soep-is,soep-is-2012-haupt,Q135,,MB12_IS_W4,bstor,
soep-is,soep-is-2012-haupt,Q136,bstor01,MB12_IS_W4,bstor01,
soep-is,soep-is-2012-haupt,Q136,bstor02,MB12_IS_W4,bstor02,
soep-is,soep-is-2012-haupt,Q136,bstor03,MB12_IS_W4,bstor03,
soep-is,soep-is-2012-haupt,Q136,bstor04,MB12_IS_W4,bstor04,
soep-is,soep-is-2012-haupt,Q136,bstor05,MB12_IS_W4,bstor05,
soep-is,soep-is-2012-haupt,Q136,bstor06,MB12_IS_W4,bstor06,
soep-is,soep-is-2012-haupt,Q136,bstor07,MB12_IS_W4,bstor07,
soep-is,soep-is-2012-haupt,Q136,bstor08,MB12_IS_W4,bstor08,
soep-is,soep-is-2012-haupt,Q136,bstor09,MB12_IS_W4,bstor09,
soep-is,soep-is-2012-haupt,Q136,bstor10,MB12_IS_W4,bstor10,
soep-is,soep-is-2012-haupt,Q136,bstor11,MB12_IS_W4,bstor11,
soep-is,soep-is-2012-haupt,Q136,bstor12,MB12_IS_W4,bstor12,
soep-is,soep-is-2012-haupt,Q136,bstor13,MB12_IS_W4,bstor13,
soep-is,soep-is-2012-haupt,Q136,bstor14,MB12_IS_W4,bstor14,
soep-is,soep-is-2012-haupt,Q136,bstorka,MB12_IS_W4,bstorka,
soep-is,soep-is-2012-haupt,Q137,bvergl1,MB12_IS_W4,bvergl1,
soep-is,soep-is-2012-haupt,Q137,bvergl2,MB12_IS_W4,bvergl2,
soep-is,soep-is-2012-haupt,Q137,bvergl3,MB12_IS_W4,bvergl3,
soep-is,soep-is-2012-haupt,Q137,bvergl4,MB12_IS_W4,bvergl4,
soep-is,soep-is-2012-haupt,Q13701a,bver01,MB12_IS_W4,bver01,
soep-is,soep-is-2012-haupt,Q13701a,bver02,MB12_IS_W4,bver02,
soep-is,soep-is-2012-haupt,Q13701a,bver03,MB12_IS_W4,bver03,
soep-is,soep-is-2012-haupt,Q13701a,bver04,MB12_IS_W4,bver04,
soep-is,soep-is-2012-haupt,Q13701a,bver05,MB12_IS_W4,bver05,
soep-is,soep-is-2012-haupt,Q13701a,bver06,MB12_IS_W4,bver06,
soep-is,soep-is-2012-haupt,Q13701a,bver07,MB12_IS_W4,bver07,
soep-is,soep-is-2012-haupt,Q13701a,bver08,MB12_IS_W4,bver08,
soep-is,soep-is-2012-haupt,Q13701b,bver09,MB12_IS_W4,bver09,
soep-is,soep-is-2012-haupt,Q13701b,bver10,MB12_IS_W4,bver10,
soep-is,soep-is-2012-haupt,Q13701b,bver11,MB12_IS_W4,bver11,
soep-is,soep-is-2012-haupt,Q13701b,bver12,MB12_IS_W4,bver12,
soep-is,soep-is-2012-haupt,Q13701b,bver13,MB12_IS_W4,bver13,
soep-is,soep-is-2012-haupt,Q13701b,bver14,MB12_IS_W4,bver14,
soep-is,soep-is-2012-haupt,Q13701b,bver15,MB12_IS_W4,bver15,
soep-is,soep-is-2012-haupt,Q13701b,bver16,MB12_IS_W4,bver16,
soep-is,soep-is-2012-haupt,Q13701b,bver17,MB12_IS_W4,bver17,
soep-is,soep-is-2012-haupt,Q138,,MC12_IS_W4,cein3,
soep-is,soep-is-2012-haupt,Q138,,MC12_IS_W4,cein4,
soep-is,soep-is-2012-haupt,Q139,,MC12_IS_W4,cein9,
soep-is,soep-is-2012-haupt,Q14,,H12_IS_W4,hm01,
soep-is,soep-is-2012-haupt,Q140,,MC12_IS_W4,cein1,
soep-is,soep-is-2012-haupt,Q141,cein1s,MC12_IS_W4,cein1s,
soep-is,soep-is-2012-haupt,Q142,cbet1,MC12_IS_W4,cbet1,
soep-is,soep-is-2012-haupt,Q142,cbet2,MC12_IS_W4,cbet2,
soep-is,soep-is-2012-haupt,Q142,cbet3,MC12_IS_W4,cbet3,
soep-is,soep-is-2012-haupt,Q142,cbet4,MC12_IS_W4,cbet4,
soep-is,soep-is-2012-haupt,Q142,cbet5,MC12_IS_W4,cbet5,
soep-is,soep-is-2012-haupt,Q142,cbetka,MC12_IS_W4,cbetka,
soep-is,soep-is-2012-haupt,Q143,cgew,MC12_IS_W4,cgew,
soep-is,soep-is-2012-haupt,Q143B,cgro,MC12_IS_W4,cgro,
soep-is,soep-is-2012-haupt,Q144,,MC12_IS_W4,cstor,
soep-is,soep-is-2012-haupt,Q145,cstor1,MC12_IS_W4,cstor1,
soep-is,soep-is-2012-haupt,Q145,cstor2,MC12_IS_W4,cstor2,
soep-is,soep-is-2012-haupt,Q145,cstor3,MC12_IS_W4,cstor3,
soep-is,soep-is-2012-haupt,Q145,cstor4,MC12_IS_W4,cstor4,
soep-is,soep-is-2012-haupt,Q145,cstor5,MC12_IS_W4,cstor5,
soep-is,soep-is-2012-haupt,Q145,cstor6,MC12_IS_W4,cstor6,
soep-is,soep-is-2012-haupt,Q145,cstor7,MC12_IS_W4,cstor7,
soep-is,soep-is-2012-haupt,Q145,cstor8,MC12_IS_W4,cstor8,
soep-is,soep-is-2012-haupt,Q145,cstor9,MC12_IS_W4,cstor9,
soep-is,soep-is-2012-haupt,Q145,cstorka,MC12_IS_W4,cstorka,
soep-is,soep-is-2012-haupt,Q146,cverg01,MC12_IS_W4,cverg01,
soep-is,soep-is-2012-haupt,Q146,cverg02,MC12_IS_W4,cverg02,
soep-is,soep-is-2012-haupt,Q146,cverg03,MC12_IS_W4,cverg03,
soep-is,soep-is-2012-haupt,Q146,cverg04,MC12_IS_W4,cverg04,
soep-is,soep-is-2012-haupt,Q146,cverg05,MC12_IS_W4,cverg05,
soep-is,soep-is-2012-haupt,Q146,cverg06,MC12_IS_W4,cverg06,
soep-is,soep-is-2012-haupt,Q146,cverg07,MC12_IS_W4,cverg07,
soep-is,soep-is-2012-haupt,Q146,cverg08,MC12_IS_W4,cverg08,
soep-is,soep-is-2012-haupt,Q146,cverg09,MC12_IS_W4,cverg09,
soep-is,soep-is-2012-haupt,Q146,cverg10,MC12_IS_W4,cverg10,
soep-is,soep-is-2012-haupt,Q14601a,cver01,MC12_IS_W4,cver01,
soep-is,soep-is-2012-haupt,Q14601a,cver02,MC12_IS_W4,cver02,
soep-is,soep-is-2012-haupt,Q14601a,cver03,MC12_IS_W4,cver03,
soep-is,soep-is-2012-haupt,Q14601a,cver04,MC12_IS_W4,cver04,
soep-is,soep-is-2012-haupt,Q14601a,cver05,MC12_IS_W4,cver05,
soep-is,soep-is-2012-haupt,Q14601a,cver06,MC12_IS_W4,cver06,
soep-is,soep-is-2012-haupt,Q14601a,cver07,MC12_IS_W4,cver07,
soep-is,soep-is-2012-haupt,Q14601a,cver08,MC12_IS_W4,cver08,
soep-is,soep-is-2012-haupt,Q14601b,cver09,MC12_IS_W4,cver09,
soep-is,soep-is-2012-haupt,Q14601b,cver10,MC12_IS_W4,cver10,
soep-is,soep-is-2012-haupt,Q14601b,cver11,MC12_IS_W4,cver11,
soep-is,soep-is-2012-haupt,Q14601b,cver12,MC12_IS_W4,cver12,
soep-is,soep-is-2012-haupt,Q14601b,cver13,MC12_IS_W4,cver13,
soep-is,soep-is-2012-haupt,Q14601b,cver14,MC12_IS_W4,cver14,
soep-is,soep-is-2012-haupt,Q14601b,cver15,MC12_IS_W4,cver15,
soep-is,soep-is-2012-haupt,Q14601b,cver16,MC12_IS_W4,cver16,
soep-is,soep-is-2012-haupt,Q14601b,cver17,MC12_IS_W4,cver17,
soep-is,soep-is-2012-haupt,Q147,csch1,MC12_IS_W4,csch1,
soep-is,soep-is-2012-haupt,Q147,csch2,MC12_IS_W4,csch2,
soep-is,soep-is-2012-haupt,Q147,csch3,MC12_IS_W4,csch3,
soep-is,soep-is-2012-haupt,Q148,csch4,MC12_IS_W4,csch4,
soep-is,soep-is-2012-haupt,Q148,csch5,MC12_IS_W4,csch5,
soep-is,soep-is-2012-haupt,Q148,csch6,MC12_IS_W4,csch6,
soep-is,soep-is-2012-haupt,Q149,lkind,L12_IS_W4,lkind,
soep-is,soep-is-2012-haupt,Q149,lkno,L12_IS_W4,lkno,
soep-is,soep-is-2012-haupt,Q15,hm04,H12_IS_W4,hm04,
soep-is,soep-is-2012-haupt,Q15,hm05,H12_IS_W4,hm05,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam1,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam10,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam5,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam8,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam2,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam9,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam6,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam7,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam3,
soep-is,soep-is-2012-haupt,Q151,lknam,L12_IS_W4,lknam4,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex2,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex6,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex3,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex5,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex10,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex7,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex8,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex4,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex1,
soep-is,soep-is-2012-haupt,Q152,,L12_IS_W4,lksex9,
soep-is,soep-is-2012-haupt,Q153,lkgeb,L12_IS_W4,lkgeb6,
soep-is,soep-is-2012-haupt,Q153,lkgeb,L12_IS_W4,lkgeb9,
soep-is,soep-is-2012-haupt,Q153,lkgeb,L12_IS_W4,lkgeb2,
soep-is,soep-is-2012-haupt,Q153,lkgeb,L12_IS_W4,lkgeb7,
soep-is,soep-is-2012-haupt,Q153,lkgeb,L12_IS_W4,lkgeb5,
