study,questionnaire,answer_list,value,label,label_de
soep-is,soep-is-2011,q15,5,An industrial area with few flats,Ein Gewerbe- bzw. Industriegebiet mit wenigen Wohnungen
soep-is,soep-is-2011,q15,9,No answer,Keine Angabe
soep-is,soep-is-2011,q150,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q150,1,Yes,Ja
soep-is,soep-is-2011,q150,2,"No, I haven't graduated yet, I'm still in school","Nein, noch keinen Abschluss, gehe noch zur Schule"
soep-is,soep-is-2011,q150,3,"No, left school without graduation","Nein, Schule ohne Abschluss verlassen"
soep-is,soep-is-2011,q151,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q151,1,In a federal state of the Federal Republic of Germany?,In einem Bundesland der Bundesrepublik Deutschland?
soep-is,soep-is-2011,q151,2,In GDR?,In der DDR?
soep-is,soep-is-2011,q151,3,In another country,In einem anderen Land?
soep-is,soep-is-2011,q152,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q152,2,"Secondary general school leaving certificate (""Hauptschulabschluss"")",Volksschul-/ Hauptschulabschluss
soep-is,soep-is-2011,q152,3,"Intermediate school leaving certificate (""Mittlere Reife"", ""Realschulabschluss"")",Mittlere Reife / Realschulabschluss
soep-is,soep-is-2011,q152,4,"Leaving certificate from a Fachoberschule (""Fachhochschulreife"" - qualification for studies at a Fachhochschule)",Fachhochschulreife (Abschluss Fachoberschule)
soep-is,soep-is-2011,q152,5,"Upper secondary leaving certificate (""Abitur"")",Abitur (Hochschulreife)
soep-is,soep-is-2011,q152,6,Other school leaving certificate (please state),Anderer Schulabschluss
soep-is,soep-is-2011,q153,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q153,1,Secondary School Degree ,Abschluss 8. Klasse
soep-is,soep-is-2011,q153,2,Intermediate School Degree,Abschluss 10. Klasse
soep-is,soep-is-2011,q153,3,Upper Secondary School Degree ,Abitur (Hochschulreife)
soep-is,soep-is-2011,q153,4,Other Degree,Anderer Schulabschluss
soep-is,soep-is-2011,q155,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q155,1,"School, with degree",Abschluss einer Pflichtschule
soep-is,soep-is-2011,q155,2,Vocational Extension School ,Abschluss einer weiterführenden Schule
soep-is,soep-is-2011,q156,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q156,1,Yes,Ja
soep-is,soep-is-2011,q156,2,No,Nein
soep-is,soep-is-2011,q159,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q159,1,Yes,Ja
soep-is,soep-is-2011,q159,2,No,Nein
soep-is,soep-is-2011,q15903,1,Lower secondary school (Hauptschule),Hauptschule
soep-is,soep-is-2011,q15903,2,Intermediate secondary school (Realschule),Realschule
soep-is,soep-is-2011,q15903,3,Upper secondary school (Gymnasium),Gymnasium
soep-is,soep-is-2011,q15903,4,Comprehensive school (Gesamtschule),Gesamtschule
soep-is,soep-is-2011,q15903,5,Evening intermediate / upper secondary school (Abendrealschule / Abendgymnasium),"Abendrealschule, Abendgymnasium"
soep-is,soep-is-2011,q15903,6,Specialized upper secondary school (Fachoberschule),Fachoberschule
soep-is,soep-is-2011,q15903,9,No answer,Keine Angabe
soep-is,soep-is-2011,q16,1,In good condition,In gutem Zustand
soep-is,soep-is-2011,q16,2,In need of partial renovation,Teilweise renovierungsbedürftig
soep-is,soep-is-2011,q16,3,In need of complete renovation,Ganz renovierungsbedürftig
soep-is,soep-is-2011,q16,4,Near collapse,Abbruchreif
soep-is,soep-is-2011,q16,9,No answer,Keine Angabe
soep-is,soep-is-2011,q160,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q160,1,General education / secondary school ,Allgemeinbildende Schule
soep-is,soep-is-2011,q160,2,Vocational training,Berufliche Ausbildung
soep-is,soep-is-2011,q160,3,Higher education,"Hochschule, Fachhochschule"
soep-is,soep-is-2011,q160,4,"Further training, Retraining","Weiterbildung, Umschulung"
soep-is,soep-is-2011,q160c,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q160c,1,Yes,Ja
soep-is,soep-is-2011,q160c,2,No,Nein
soep-is,soep-is-2011,q160f_1,1,"Does not apply, I have only been self-employed","Trifft nicht zu, war nur als Selbständiger tätig"
soep-is,soep-is-2011,q160f_1,2,"Does not apply, I have not been employed at all","Trifft nicht zu, war überhaupt nicht erwerbstätig"
soep-is,soep-is-2011,q161,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q161,1,Employed full-time,Voll erwerbstätig
soep-is,soep-is-2011,q161,2,Employed part-time,In Teilzeitbeschäftigung
soep-is,soep-is-2011,q161,3,Completing in-service training (betriebliche Ausbildung) / apprenticeship (Lehre) / in-service retraining (betriebliche Umschulung),"In betrieblicher Ausbildung, Lehre oder betrieblicher Umschulung"
soep-is,soep-is-2011,q161,4,In marginal (geringfügig) or irregular employment (unregelmäßig erwerbstätig),Geringfügig oder unregelmäßig erwerbstätig
soep-is,soep-is-2011,q161,5,"In partial retirement, phase with zero working hours (Altersteilzeit mit Arbeitszeit Null)",In Altersteilzeit mit Arbeitszeit Null
soep-is,soep-is-2011,q161,6,Completing compulsory military service (Wehrpflicht),Als Wehrpflichtiger beim Wehrdienst
soep-is,soep-is-2011,q161,7,Completing community service as a substitute for compulsory military service (Zivildienst) or as a voluntary social year (freiwilliges soziales Year),Zivildienstleistender oder Freiwilliges soziales Jahr
soep-is,soep-is-2011,q161,8,In the federal volunteer service (Bundesfreiwilligendienst),Bundesfreiwilligendienst
soep-is,soep-is-2011,q161,9,Not employed,Nicht erwerbstätig
soep-is,soep-is-2011,q162,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q162,1,Yes,Ja
soep-is,soep-is-2011,q162,2,No,Nein
soep-is,soep-is-2011,q163,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q163,1,"Yes, a job-creation measure (ABM)","Ja, ABM-Stelle"
soep-is,soep-is-2011,q163,2,"Yes, a „1-Euro Job“ (community work)","Ja, gemeinnützige Arbeit (1-Euro-Job)"
soep-is,soep-is-2011,q163,3,No,Nein
soep-is,soep-is-2011,q164,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q164,1,"Yes, Mini-Job (up to 400 euros)","Ja, Mini-Job (bis 400 Euro)"
soep-is,soep-is-2011,q164,2,"Yes, Midi-Job (401 to 800 euros)","Ja, Midi-Job (401 bis 800 Euro)"
soep-is,soep-is-2011,q164,3,No,Nein
soep-is,soep-is-2011,q165,1,"Blue-collar worker (Arbeiter), including those working in agriculture",Arbeiter (auch in der Landwirtschaft)
soep-is,soep-is-2011,q165,2,Self-employed (also: Working for a self-employed relative),Selbständiger (einschl. mithelfender Familienangehörige)
