study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-is,DRM12_IS,q11drm_22_3,,,,,,,,
soep-is,DRM12_IS,q11drm_22_4,,,,,,,,
soep-is,DRM12_IS,q11drm_22_5,,,,,,,,
soep-is,DRM12_IS,q11drm_22_6,,,,,,,,
soep-is,DRM12_IS,q11drm_22_7,,,,,,,,
soep-is,DRM12_IS,q11drm_22_8,,,,,,,,
soep-is,DRM12_IS,q11drm_22_9,,,,,,,,
soep-is,DRM12_IS,q11drm_23_1,,,,,,,,
soep-is,DRM12_IS,q11drm_23_10,,,,,,,,
soep-is,DRM12_IS,q11drm_23_2,,,,,,,,
soep-is,DRM12_IS,q11drm_23_3,,,,,,,,
soep-is,DRM12_IS,q11drm_23_4,,,,,,,,
soep-is,DRM12_IS,q11drm_23_5,,,,,,,,
soep-is,DRM12_IS,q11drm_23_6,,,,,,,,
soep-is,DRM12_IS,q11drm_23_7,,,,,,,,
soep-is,DRM12_IS,q11drm_23_8,,,,,,,,
soep-is,DRM12_IS,q11drm_23_9,,,,,,,,
soep-is,DRM12_IS,q11drm_24_1,,,,,,,,
soep-is,DRM12_IS,q11drm_24_10,,,,,,,,
soep-is,DRM12_IS,q11drm_24_2,,,,,,,,
soep-is,DRM12_IS,q11drm_24_3,,,,,,,,
soep-is,DRM12_IS,q11drm_24_4,,,,,,,,
soep-is,DRM12_IS,q11drm_24_5,,,,,,,,
soep-is,DRM12_IS,q11drm_24_6,,,,,,,,
soep-is,DRM12_IS,q11drm_24_7,,,,,,,,
soep-is,DRM12_IS,q11drm_24_8,,,,,,,,
soep-is,DRM12_IS,q11drm_24_9,,,,,,,,
soep-is,DRM12_IS,q11drm_25_1,,,,,,,,
soep-is,DRM12_IS,q11drm_25_10,,,,,,,,
soep-is,DRM12_IS,q11drm_25_2,,,,,,,,
soep-is,DRM12_IS,q11drm_25_3,,,,,,,,
soep-is,DRM12_IS,q11drm_25_4,,,,,,,,
soep-is,DRM12_IS,q11drm_25_5,,,,,,,,
soep-is,DRM12_IS,q11drm_25_6,,,,,,,,
soep-is,DRM12_IS,q11drm_25_7,,,,,,,,
soep-is,DRM12_IS,q11drm_25_8,,,,,,,,
soep-is,DRM12_IS,q11drm_25_9,,,,,,,,
soep-is,DRM12_IS,q11drm_26_1,,,,,,,,
soep-is,DRM12_IS,q11drm_26_10,,,,,,,,
soep-is,DRM12_IS,q11drm_26_2,,,,,,,,
soep-is,DRM12_IS,q11drm_26_3,,,,,,,,
soep-is,DRM12_IS,q11drm_26_4,,,,,,,,
soep-is,DRM12_IS,q11drm_26_5,,,,,,,,
soep-is,DRM12_IS,q11drm_26_6,,,,,,,,
soep-is,DRM12_IS,q11drm_26_7,,,,,,,,
soep-is,DRM12_IS,q11drm_26_8,,,,,,,,
soep-is,DRM12_IS,q11drm_26_9,,,,,,,,
soep-is,DRM12_IS,q11drm_27_1,,,,,,,,
soep-is,DRM12_IS,q11drm_27_10,,,,,,,,
soep-is,DRM12_IS,q11drm_27_2,,,,,,,,
soep-is,DRM12_IS,q11drm_27_3,,,,,,,,
soep-is,DRM12_IS,q11drm_27_4,,,,,,,,
soep-is,DRM12_IS,q11drm_27_5,,,,,,,,
soep-is,DRM12_IS,q11drm_27_6,,,,,,,,
soep-is,DRM12_IS,q11drm_27_7,,,,,,,,
soep-is,DRM12_IS,q11drm_27_8,,,,,,,,
soep-is,DRM12_IS,q11drm_27_9,,,,,,,,
soep-is,DRM12_IS,q11drm_28_1,,,,,,,,
soep-is,DRM12_IS,q11drm_28_10,,,,,,,,
soep-is,DRM12_IS,q11drm_28_2,,,,,,,,
soep-is,DRM12_IS,q11drm_28_3,,,,,,,,
soep-is,DRM12_IS,q11drm_28_4,,,,,,,,
soep-is,DRM12_IS,q11drm_28_5,,,,,,,,
soep-is,DRM12_IS,q11drm_28_6,,,,,,,,
soep-is,DRM12_IS,q11drm_28_7,,,,,,,,
soep-is,DRM12_IS,q11drm_28_8,,,,,,,,
soep-is,DRM12_IS,q11drm_28_9,,,,,,,,
soep-is,DRM12_IS,q11drm_29_1,,,,,,,,
