study,questionnaire,answer_list,value,label,label_de,,
soep-is,soep-is-2011,q13701,1,Yes,Ja,212,q13701
soep-is,soep-is-2011,q13701,2,No,Nein,213,q13701
soep-is,soep-is-2011,q139,-2,No answer,Keine Angabe,216,q139
soep-is,soep-is-2011,q139,1,1  Absolutly does not apply,1 Trifft überhaupt nicht zu,217,q139
soep-is,soep-is-2011,q139,2,2,2,218,q139
soep-is,soep-is-2011,q139,3,3,3,219,q139
soep-is,soep-is-2011,q139,4,4,4,220,q139
soep-is,soep-is-2011,q139,5,5,5,221,q139
soep-is,soep-is-2011,q139,6,6,6,222,q139
soep-is,soep-is-2011,q139,7,7  Fully applies,7 Trifft voll zu,223,q139
soep-is,soep-is-2011,q141,-2,No answer,Keine Angabe,224,q141
soep-is,soep-is-2011,q141,1,Yes,Ja,225,q141
soep-is,soep-is-2011,q141,2,No,Nein,226,q141
soep-is,soep-is-2011,q143,1,1,1,229,q143
soep-is,soep-is-2011,q143,2,2,2,230,q143
soep-is,soep-is-2011,q143,3,3,3,231,q143
soep-is,soep-is-2011,q143,4,4,4,232,q143
soep-is,soep-is-2011,q143,5,5,5,233,q143
soep-is,soep-is-2011,q143,6,6,6,234,q143
soep-is,soep-is-2011,q143,7,7,7,235,q143
soep-is,soep-is-2011,q143,8,8,8,236,q143
soep-is,soep-is-2011,q143,9,9,9,237,q143
soep-is,soep-is-2011,q143,10,10,10,238,q143
soep-is,soep-is-2011,q143,11,11,11,239,q143
soep-is,soep-is-2011,q144,-1,No answer,Keine Angabe,240,q144
soep-is,soep-is-2011,q144,1,1= Not at all,1 überhaupt nicht,241,q144
soep-is,soep-is-2011,q144,2,2,2,242,q144
soep-is,soep-is-2011,q144,3,3,3,243,q144
soep-is,soep-is-2011,q144,4,4,4,244,q144
soep-is,soep-is-2011,q144,5,5,5,245,q144
soep-is,soep-is-2011,q144,6,6,6,246,q144
soep-is,soep-is-2011,q144,7,7= Fully,7 Voll und ganz,247,q144
soep-is,soep-is-2011,q145,-1,No answer,Keine Angabe,248,q145
soep-is,soep-is-2011,q145,1,1= Excluded,1 Ausgeschlossen,249,q145
soep-is,soep-is-2011,q145,2,2,2,250,q145
soep-is,soep-is-2011,q145,3,3,3,251,q145
soep-is,soep-is-2011,q145,4,4,4,252,q145
soep-is,soep-is-2011,q145,5,5,5,253,q145
soep-is,soep-is-2011,q145,6,6,6,254,q145
soep-is,soep-is-2011,q145,7,7= Absolutely sure,7 Ganz sicher,255,q145
soep-is,soep-is-2011,q145,8,Already acquired degree,Abschluß schon erworben,256,q145
soep-is,soep-is-2011,q14501,0,0 Does not apply at all,0 Trifft überhaupt nicht zu,257,q14501
soep-is,soep-is-2011,q14501,1,1,1,258,q14501
soep-is,soep-is-2011,q14501,2,2,2,259,q14501
soep-is,soep-is-2011,q14501,3,3,3,260,q14501
soep-is,soep-is-2011,q14501,4,4,4,261,q14501
soep-is,soep-is-2011,q14501,5,5 Fully applies,5 Trifft voll und ganz zu,262,q14501
soep-is,soep-is-2011,q14501,-1,No answer,Keine Angabe,263,q14501
soep-is,soep-is-2011,q147b,-1,No answer,Keine Angabe,267,q147b
soep-is,soep-is-2011,q147b,1,Yes,Ja,268,q147b
soep-is,soep-is-2011,q147b,2,No,Nein,269,q147b
soep-is,soep-is-2011,q147d,-1,No answer,Keine Angabe,271,q147d
soep-is,soep-is-2011,q147d,1,Yes,Ja,272,q147d
soep-is,soep-is-2011,q147d,2,No,Nein,273,q147d
soep-is,soep-is-2011,q148,-1,No answer,Keine Angabe,276,q148
soep-is,soep-is-2011,q148,1,Yes,Ja,277,q148
soep-is,soep-is-2011,q148,2,No,Nein,278,q148
soep-is,soep-is-2011,q149,-1,No answer,Keine Angabe,279,q149
soep-is,soep-is-2011,q149,1,"Yes, maternity leave","Ja, Mutterschutz",280,q149
soep-is,soep-is-2011,q149,2,"Yes, parental leave","Ja, Elternzeit",281,q149
soep-is,soep-is-2011,q149,3,No,Nein,282,q149
soep-is,soep-is-2011,q15,1,A residential area with mostly old houses,Ein reines Wohngebiet mit überwiegend Altbauten,283,q15
soep-is,soep-is-2011,q15,2,A residential area with mostly newer houses,Ein reines Wohngebiet mit überwiegend Neubauten,284,q15
soep-is,soep-is-2011,q15,3,"A residential and commercial area with flats, houses, shops and businesses",Ein Mischgebiet mit Wohnungen und Geschäften bzw. Gewerbebetrieben,285,q15
soep-is,soep-is-2011,q15,4,"A commercial area (shops, banks, offices) with few flats","Ein Geschäftszentrum (Läden, Banken, Verwaltungen) mit wenigen Wohnungen",286,q15
soep-is,soep-is-2011,q15,5,An industrial area with few flats,Ein Gewerbe- bzw. Industriegebiet mit wenigen Wohnungen,287,q15
soep-is,soep-is-2011,q15,9,No answer,Keine Angabe,288,q15
soep-is,soep-is-2011,q150,-2,No answer,Keine Angabe,289,q150
soep-is,soep-is-2011,q150,1,Yes,Ja,290,q150
