study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,biobirth,bioyear,,,,bioyear,,,,,,,track ,NA
soep-is,biobirth,cid,,,,cid,,,,,,,track ,NA
soep-is,biobirth,kidgeb01,,,,kidgeb01,,,,,,,track ,NA
soep-is,biobirth,kidgeb02,,,,kidgeb02,,,,,,,track ,NA
soep-is,biobirth,kidgeb03,,,,kidgeb03,,,,,,,track ,NA
soep-is,biobirth,kidgeb04,,,,kidgeb04,,,,,,,track ,NA
soep-is,biobirth,kidgeb05,,,,kidgeb05,,,,,,,track ,NA
soep-is,biobirth,kidgeb06,,,,kidgeb06,,,,,,,track ,NA
soep-is,biobirth,kidgeb07,,,,kidgeb07,,,,,,,track ,NA
soep-is,biobirth,kidgeb08,,,,kidgeb08,,,,,,,track ,NA
soep-is,biobirth,kidgeb09,,,,kidgeb09,,,,,,,track ,NA
soep-is,biobirth,kidgeb10,,,,kidgeb10,,,,,,,track ,NA
soep-is,biobirth,kidgeb11,,,,kidgeb11,,,,,,,track ,NA
soep-is,biobirth,kidgeb12,,,,kidgeb12,,,,,,,track ,NA
soep-is,biobirth,kidgeb13,,,,kidgeb13,,,,,,,track ,NA
soep-is,biobirth,kidgeb14,,,,kidgeb14,,,,,,,track ,NA
soep-is,biobirth,kidgeb15,,,,kidgeb15,,,,,,,track ,NA
soep-is,biobirth,kidmon01,,,,kidmon01,,,,,,,track ,NA
soep-is,biobirth,kidmon02,,,,kidmon02,,,,,,,track ,NA
soep-is,biobirth,kidmon03,,,,kidmon03,,,,,,,track ,NA
soep-is,biobirth,kidmon04,,,,kidmon04,,,,,,,track ,NA
soep-is,biobirth,kidmon05,,,,kidmon05,,,,,,,track ,NA
soep-is,biobirth,kidmon06,,,,kidmon06,,,,,,,track ,NA
soep-is,biobirth,kidmon07,,,,kidmon07,,,,,,,track ,NA
soep-is,biobirth,kidmon08,,,,kidmon08,,,,,,,track ,NA
soep-is,biobirth,kidmon09,,,,kidmon09,,,,,,,track ,NA
soep-is,biobirth,kidmon10,,,,kidmon10,,,,,,,track ,NA
soep-is,biobirth,kidmon11,,,,kidmon11,,,,,,,track ,NA
soep-is,biobirth,kidmon12,,,,kidmon12,,,,,,,track ,NA
soep-is,biobirth,kidmon13,,,,kidmon13,,,,,,,track ,NA
soep-is,biobirth,kidmon14,,,,kidmon14,,,,,,,track ,NA
soep-is,biobirth,kidmon15,,,,kidmon15,,,,,,,track ,NA
soep-is,biobirth,kidpnr01,,,,kidpnr01,,,,,,,track ,NA
soep-is,biobirth,kidpnr02,,,,kidpnr02,,,,,,,track ,NA
soep-is,biobirth,kidpnr03,,,,kidpnr03,,,,,,,track ,NA
soep-is,biobirth,kidpnr04,,,,kidpnr04,,,,,,,track ,NA
soep-is,biobirth,kidpnr05,,,,kidpnr05,,,,,,,track ,NA
soep-is,biobirth,kidpnr06,,,,kidpnr06,,,,,,,track ,NA
soep-is,biobirth,kidpnr07,,,,kidpnr07,,,,,,,track ,NA
soep-is,biobirth,kidpnr08,,,,kidpnr08,,,,,,,track ,NA
soep-is,biobirth,kidpnr09,,,,kidpnr09,,,,,,,track ,NA
soep-is,biobirth,kidpnr10,,,,kidpnr10,,,,,,,track ,NA
soep-is,biobirth,kidpnr11,,,,kidpnr11,,,,,,,track ,NA
soep-is,biobirth,kidpnr12,,,,kidpnr12,,,,,,,track ,NA
soep-is,biobirth,kidpnr13,,,,kidpnr13,,,,,,,track ,NA
soep-is,biobirth,kidpnr14,,,,kidpnr14,,,,,,,track ,NA
soep-is,biobirth,kidpnr15,,,,kidpnr15,,,,,,,track ,NA
soep-is,biobirth,kidsex01,,,,kidsex01,,,,,,,track ,NA
soep-is,biobirth,kidsex02,,,,kidsex02,,,,,,,track ,NA
soep-is,biobirth,kidsex03,,,,kidsex03,,,,,,,track ,NA
soep-is,biobirth,kidsex04,,,,kidsex04,,,,,,,track ,NA
soep-is,biobirth,kidsex05,,,,kidsex05,,,,,,,track ,NA
soep-is,biobirth,kidsex06,,,,kidsex06,,,,,,,track ,NA
soep-is,biobirth,kidsex07,,,,kidsex07,,,,,,,track ,NA
soep-is,biobirth,kidsex08,,,,kidsex08,,,,,,,track ,NA
soep-is,biobirth,kidsex09,,,,kidsex09,,,,,,,track ,NA
soep-is,biobirth,kidsex10,,,,kidsex10,,,,,,,track ,NA
soep-is,biobirth,kidsex11,,,,kidsex11,,,,,,,track ,NA
soep-is,biobirth,kidsex12,,,,kidsex12,,,,,,,track ,NA
soep-is,biobirth,kidsex13,,,,kidsex13,,,,,,,track ,NA
soep-is,biobirth,kidsex14,,,,kidsex14,,,,,,,track ,NA
soep-is,biobirth,kidsex15,,,,kidsex15,,,,,,,track ,NA
soep-is,biobirth,newkids,,,,newkids,,,,,,,track ,NA
soep-is,biobirth,pid,,,,pid,,,,,,,track ,NA
soep-is,biobirth,sumkids,,,,sumkids,,,,,,,track ,NA
soep-is,biobrthm,bioage,,,,bioage,,,,,,,track ,NA
soep-is,biobrthm,biokids,,,,biokids,,,,,,,track ,NA
soep-is,biobrthm,biovalid,,,,biovalid,,,,,,,track ,NA
soep-is,biobrthm,bioyear,,,,bioyear,,,,,,,track ,NA
soep-is,biobrthm,cid,,,,cid,,,,,,,track ,NA
soep-is,biobrthm,kidgeb01,,,,kidgeb01,,,,,,,track ,NA
soep-is,biobrthm,kidgeb02,,,,kidgeb02,,,,,,,track ,NA
soep-is,biobrthm,kidgeb03,,,,kidgeb03,,,,,,,track ,NA
soep-is,biobrthm,kidgeb04,,,,kidgeb04,,,,,,,track ,NA
soep-is,biobrthm,kidgeb05,,,,kidgeb05,,,,,,,track ,NA
soep-is,biobrthm,kidgeb06,,,,kidgeb06,,,,,,,track ,NA
soep-is,biobrthm,kidgeb07,,,,kidgeb07,,,,,,,track ,NA
soep-is,biobrthm,kidgeb08,,,,kidgeb08,,,,,,,track ,NA
soep-is,biobrthm,kidgeb09,,,,kidgeb09,,,,,,,track ,NA
soep-is,biobrthm,kidgeb10,,,,kidgeb10,,,,,,,track ,NA
soep-is,biobrthm,kidgeb11,,,,kidgeb11,,,,,,,track ,NA
soep-is,biobrthm,kidgeb12,,,,kidgeb12,,,,,,,track ,NA
soep-is,biobrthm,kidgeb13,,,,kidgeb13,,,,,,,track ,NA
soep-is,biobrthm,kidgeb14,,,,kidgeb14,,,,,,,track ,NA
soep-is,biobrthm,kidgeb15,,,,kidgeb15,,,,,,,track ,NA
soep-is,biobrthm,kidmon01,,,,kidmon01,,,,,,,track ,NA
soep-is,biobrthm,kidmon02,,,,kidmon02,,,,,,,track ,NA
soep-is,biobrthm,kidmon03,,,,kidmon03,,,,,,,track ,NA
soep-is,biobrthm,kidmon04,,,,kidmon04,,,,,,,track ,NA
soep-is,biobrthm,kidmon05,,,,kidmon05,,,,,,,track ,NA
soep-is,biobrthm,kidmon06,,,,kidmon06,,,,,,,track ,NA
soep-is,biobrthm,kidmon07,,,,kidmon07,,,,,,,track ,NA
soep-is,biobrthm,kidmon08,,,,kidmon08,,,,,,,track ,NA
soep-is,biobrthm,kidmon09,,,,kidmon09,,,,,,,track ,NA
soep-is,biobrthm,kidmon10,,,,kidmon10,,,,,,,track ,NA
soep-is,biobrthm,kidmon11,,,,kidmon11,,,,,,,track ,NA
soep-is,biobrthm,kidmon12,,,,kidmon12,,,,,,,track ,NA
soep-is,biobrthm,kidmon13,,,,kidmon13,,,,,,,track ,NA
soep-is,biobrthm,kidmon14,,,,kidmon14,,,,,,,track ,NA
soep-is,biobrthm,kidmon15,,,,kidmon15,,,,,,,track ,NA
soep-is,biobrthm,kidpnr01,,,,kidpnr01,,,,,,,track ,NA
soep-is,biobrthm,kidpnr02,,,,kidpnr02,,,,,,,track ,NA
soep-is,biobrthm,kidpnr03,,,,kidpnr03,,,,,,,track ,NA
soep-is,biobrthm,kidpnr04,,,,kidpnr04,,,,,,,track ,NA
soep-is,biobrthm,kidpnr05,,,,kidpnr05,,,,,,,track ,NA
soep-is,biobrthm,kidpnr06,,,,kidpnr06,,,,,,,track ,NA
soep-is,biobrthm,kidpnr07,,,,kidpnr07,,,,,,,track ,NA
soep-is,biobrthm,kidpnr08,,,,kidpnr08,,,,,,,track ,NA
soep-is,biobrthm,kidpnr09,,,,kidpnr09,,,,,,,track ,NA
soep-is,biobrthm,kidpnr10,,,,kidpnr10,,,,,,,track ,NA
soep-is,biobrthm,kidpnr11,,,,kidpnr11,,,,,,,track ,NA
soep-is,biobrthm,kidpnr12,,,,kidpnr12,,,,,,,track ,NA
soep-is,biobrthm,kidpnr13,,,,kidpnr13,,,,,,,track ,NA
soep-is,biobrthm,kidpnr14,,,,kidpnr14,,,,,,,track ,NA
soep-is,biobrthm,kidpnr15,,,,kidpnr15,,,,,,,track ,NA
soep-is,biobrthm,kidsex01,,,,kidsex01,,,,,,,track ,NA
soep-is,biobrthm,kidsex02,,,,kidsex02,,,,,,,track ,NA
soep-is,biobrthm,kidsex03,,,,kidsex03,,,,,,,track ,NA
soep-is,biobrthm,kidsex04,,,,kidsex04,,,,,,,track ,NA
soep-is,biobrthm,kidsex05,,,,kidsex05,,,,,,,track ,NA
soep-is,biobrthm,kidsex06,,,,kidsex06,,,,,,,track ,NA
soep-is,biobrthm,kidsex07,,,,kidsex07,,,,,,,track ,NA
soep-is,biobrthm,kidsex08,,,,kidsex08,,,,,,,track ,NA
soep-is,biobrthm,kidsex09,,,,kidsex09,,,,,,,track ,NA
soep-is,biobrthm,kidsex10,,,,kidsex10,,,,,,,track ,NA
soep-is,biobrthm,kidsex11,,,,kidsex11,,,,,,,track ,NA
soep-is,biobrthm,kidsex12,,,,kidsex12,,,,,,,track ,NA
soep-is,biobrthm,kidsex13,,,,kidsex13,,,,,,,track ,NA
soep-is,biobrthm,kidsex14,,,,kidsex14,,,,,,,track ,NA
soep-is,biobrthm,kidsex15,,,,kidsex15,,,,,,,track ,NA
soep-is,biobrthm,newkids,,,,newkids,,,,,,,track ,NA
soep-is,biobrthm,pid,,,,pid,,,,,,,track ,NA
soep-is,biobrthm,sumkids,,,,sumkids,,,,,,,track ,NA
soep-is,gew12_IS_W4,hfakt,,,,hfakt,,,,,,,raw,2012
soep-is,gew12_IS_W4,hnr,,,,hnr,,,,,,,raw,2012
soep-is,gew12_IS_W4,pfakt,,,,pfakt,,,,,,,raw,2012
soep-is,gew12_IS_W4,pnrfest,,,,pnrfest,,,,,,,raw,2012
soep-is,gew12_IS_W4,w12pnr,,,,w12pnr,,,,,,,raw,2012
soep-is,h,cid,,,,cid,,,,,,,org/net ,long
soep-is,h,hac0002,,,,hac0002,,,,,,,org/net ,long
soep-is,h,hcf0053,,,,hcf0053,,,,,,,org/net ,long
soep-is,h,hcf0054,,,,hcf0054,,,,,,,org/net ,long
soep-is,h,hid,,,,hid,,,,,,,org/net ,long
soep-is,h,hlc0005,,,,hlc0005,,,,,,,org/net ,long
soep-is,h,hlc0006,,,,hlc0006,,,,,,,org/net ,long
soep-is,h,hlc0007,,,,hlc0007,,,,,,,org/net ,long
soep-is,h,hlc0008,,,,hlc0008,,,,,,,org/net ,long
soep-is,h,hlc0009,,,,hlc0009,,,,,,,org/net ,long
soep-is,h,hlc0010,,,,hlc0010,,,,,,,org/net ,long
soep-is,h,hlc0013,,,,hlc0013,,,,,,,org/net ,long
soep-is,h,hlc0014,,,,hlc0014,,,,,,,org/net ,long
soep-is,h,hlc0024,,,,hlc0024,,,,,,,org/net ,long
soep-is,h,hlc0025,,,,hlc0025,,,,,,,org/net ,long
soep-is,h,hlc0026,,,,hlc0026,,,,,,,org/net ,long
soep-is,h,hlc0027,,,,hlc0027,,,,,,,org/net ,long
soep-is,h,hlc0028,,,,hlc0028,,,,,,,org/net ,long
soep-is,h,hlc0029,,,,hlc0029,,,,,,,org/net ,long
soep-is,h,hlc0030,,,,hlc0030,,,,,,,org/net ,long
soep-is,h,hlc0031,,,,hlc0031,,,,,,,org/net ,long
soep-is,h,hlc0032,,,,hlc0032,,,,,,,org/net ,long
soep-is,h,hlc0033,,,,hlc0033,,,,,,,org/net ,long
soep-is,h,hlc0034,,,,hlc0034,,,,,,,org/net ,long
soep-is,h,hlc0035,,,,hlc0035,,,,,,,org/net ,long
soep-is,h,hlc0036,,,,hlc0036,,,,,,,org/net ,long
soep-is,h,hlc0038,,,,hlc0038,,,,,,,org/net ,long
soep-is,h,hlc0039,,,,hlc0039,,,,,,,org/net ,long
soep-is,h,hlc0041,,,,hlc0041,,,,,,,org/net ,long
soep-is,h,hlc0042,,,,hlc0042,,,,,,,org/net ,long
soep-is,h,hlc0043,,,,hlc0043,,,,,,,org/net ,long
soep-is,h,hlc0044,,,,hlc0044,,,,,,,org/net ,long
soep-is,h,hlc0045,,,,hlc0045,,,,,,,org/net ,long
soep-is,h,hlc0046,,,,hlc0046,,,,,,,org/net ,long
soep-is,h,hlc0047,,,,hlc0047,,,,,,,org/net ,long
soep-is,h,hlc0048,,,,hlc0048,,,,,,,org/net ,long
soep-is,h,hlc0049,,,,hlc0049,,,,,,,org/net ,long
soep-is,h,hlc0050,,,,hlc0050,,,,,,,org/net ,long
soep-is,h,hlc0051,,,,hlc0051,,,,,,,org/net ,long
soep-is,h,hlc0052,,,,hlc0052,,,,,,,org/net ,long
soep-is,h,hlc0053,,,,hlc0053,,,,,,,org/net ,long
soep-is,h,hlc0054,,,,hlc0054,,,,,,,org/net ,long
soep-is,h,hlc0055,,,,hlc0055,,,,,,,org/net ,long
soep-is,h,hlc0056,,,,hlc0056,,,,,,,org/net ,long
soep-is,h,hlc0057,,,,hlc0057,,,,,,,org/net ,long
soep-is,h,hlc0059,,,,hlc0059,,,,,,,org/net ,long
soep-is,h,hlc0060,,,,hlc0060,,,,,,,org/net ,long
soep-is,h,hlc0061,,,,hlc0061,,,,,,,org/net ,long
soep-is,h,hlc0062,,,,hlc0062,,,,,,,org/net ,long
soep-is,h,hlc0063,,,,hlc0063,,,,,,,org/net ,long
soep-is,h,hlc0064,,,,hlc0064,,,,,,,org/net ,long
soep-is,h,hlc0065,,,,hlc0065,,,,,,,org/net ,long
soep-is,h,hlc0066,,,,hlc0066,,,,,,,org/net ,long
soep-is,h,hlc0067,,,,hlc0067,,,,,,,org/net ,long
soep-is,h,hlc0068,,,,hlc0068,,,,,,,org/net ,long
soep-is,h,hlc0069,,,,hlc0069,,,,,,,org/net ,long
soep-is,h,hlc0070,,,,hlc0070,,,,,,,org/net ,long
soep-is,h,hlc0071,,,,hlc0071,,,,,,,org/net ,long
soep-is,h,hlc0072,,,,hlc0072,,,,,,,org/net ,long
soep-is,h,hlc0073,,,,hlc0073,,,,,,,org/net ,long
soep-is,h,hlc0074,,,,hlc0074,,,,,,,org/net ,long
soep-is,h,hlc0075,,,,hlc0075,,,,,,,org/net ,long
soep-is,h,hlc0076,,,,hlc0076,,,,,,,org/net ,long
soep-is,h,hlc0077,,,,hlc0077,,,,,,,org/net ,long
soep-is,h,hlc0078,,,,hlc0078,,,,,,,org/net ,long
soep-is,h,hlc0079,,,,hlc0079,,,,,,,org/net ,long
soep-is,h,hlc0080,,,,hlc0080,,,,,,,org/net ,long
soep-is,h,hlc0081,,,,hlc0081,,,,,,,org/net ,long
soep-is,h,hlc0082,,,,hlc0082,,,,,,,org/net ,long
soep-is,h,hlc0083,,,,hlc0083,,,,,,,org/net ,long
soep-is,h,hlc0084,,,,hlc0084,,,,,,,org/net ,long
soep-is,h,hlc0085,,,,hlc0085,,,,,,,org/net ,long
soep-is,h,hlc0090,,,,hlc0090,,,,,,,org/net ,long
soep-is,h,hlc0091,,,,hlc0091,,,,,,,org/net ,long
soep-is,h,hlc0092,,,,hlc0092,,,,,,,org/net ,long
soep-is,h,hlc0093,,,,hlc0093,,,,,,,org/net ,long
soep-is,h,hlc0094,,,,hlc0094,,,,,,,org/net ,long
soep-is,h,hlc0095,,,,hlc0095,,,,,,,org/net ,long
soep-is,h,hlc0096,,,,hlc0096,,,,,,,org/net ,long
soep-is,h,hlc0098,,,,hlc0098,,,,,,,org/net ,long
soep-is,h,hlc0104,,,,hlc0104,,,,,,,org/net ,long
soep-is,h,hlc0105,,,,hlc0105,,,,,,,org/net ,long
soep-is,h,hlc0106,,,,hlc0106,,,,,,,org/net ,long
soep-is,h,hlc0107,,,,hlc0107,,,,,,,org/net ,long
soep-is,h,hlc0108,,,,hlc0108,,,,,,,org/net ,long
soep-is,h,hlc0111,,,,hlc0111,,,,,,,org/net ,long
soep-is,h,hlc0112,,,,hlc0112,,,,,,,org/net ,long
soep-is,h,hlc0113,,,,hlc0113,,,,,,,org/net ,long
soep-is,h,hlc0114,,,,hlc0114,,,,,,,org/net ,long
soep-is,h,hlc0115,,,,hlc0115,,,,,,,org/net ,long
soep-is,h,hlc0116,,,,hlc0116,,,,,,,org/net ,long
soep-is,h,hlc0117,,,,hlc0117,,,,,,,org/net ,long
soep-is,h,hlc0118,,,,hlc0118,,,,,,,org/net ,long
soep-is,h,hlc0119,,,,hlc0119,,,,,,,org/net ,long
soep-is,h,hlc0120,,,,hlc0120,,,,,,,org/net ,long
soep-is,h,hlc0121,,,,hlc0121,,,,,,,org/net ,long
soep-is,h,hlc0122,,,,hlc0122,,,,,,,org/net ,long
soep-is,h,hld0001,,,,hld0001,,,,,,,org/net ,long
soep-is,h,hld0002,,,,hld0002,,,,,,,org/net ,long
soep-is,h,hld0003,,,,hld0003,,,,,,,org/net ,long
soep-is,h,hld0004,,,,hld0004,,,,,,,org/net ,long
soep-is,h,hld0005,,,,hld0005,,,,,,,org/net ,long
soep-is,h,hlf0001,,,,hlf0001,,,,,,,org/net ,long
soep-is,h,hlf0003,,,,hlf0003,,,,,,,org/net ,long
soep-is,h,hlf0004,,,,hlf0004,,,,,,,org/net ,long
soep-is,h,hlf0005,,,,hlf0005,,,,,,,org/net ,long
soep-is,h,hlf0006,,,,hlf0006,,,,,,,org/net ,long
soep-is,h,hlf0007,,,,hlf0007,,,,,,,org/net ,long
soep-is,h,hlf0009,,,,hlf0009,,,,,,,org/net ,long
soep-is,h,hlf0011,,,,hlf0011,,,,,,,org/net ,long
soep-is,h,hlf0013,,,,hlf0013,,,,,,,org/net ,long
soep-is,h,hlf0015,,,,hlf0015,,,,,,,org/net ,long
soep-is,h,hlf0016,,,,hlf0016,,,,,,,org/net ,long
soep-is,h,hlf0017,,,,hlf0017,,,,,,,org/net ,long
soep-is,h,hlf0018,,,,hlf0018,,,,,,,org/net ,long
soep-is,h,hlf0019,,,,hlf0019,,,,,,,org/net ,long
soep-is,h,hlf0021,,,,hlf0021,,,,,,,org/net ,long
soep-is,h,hlf0024,,,,hlf0024,,,,,,,org/net ,long
soep-is,h,hlf0025,,,,hlf0025,,,,,,,org/net ,long
soep-is,h,hlf0026,,,,hlf0026,,,,,,,org/net ,long
soep-is,h,hlf0027,,,,hlf0027,,,,,,,org/net ,long
soep-is,h,hlf0028,,,,hlf0028,,,,,,,org/net ,long
soep-is,h,hlf0029,,,,hlf0029,,,,,,,org/net ,long
soep-is,h,hlf0030,,,,hlf0030,,,,,,,org/net ,long
soep-is,h,hlf0031,,,,hlf0031,,,,,,,org/net ,long
soep-is,h,hlf0032,,,,hlf0032,,,,,,,org/net ,long
soep-is,h,hlf0033,,,,hlf0033,,,,,,,org/net ,long
soep-is,h,hlf0034,,,,hlf0034,,,,,,,org/net ,long
soep-is,h,hlf0035,,,,hlf0035,,,,,,,org/net ,long
soep-is,h,hlf0036,,,,hlf0036,,,,,,,org/net ,long
soep-is,h,hlf0037,,,,hlf0037,,,,,,,org/net ,long
soep-is,h,hlf0049,,,,hlf0049,,,,,,,org/net ,long
soep-is,h,hlf0050,,,,hlf0050,,,,,,,org/net ,long
soep-is,h,hlf0051,,,,hlf0051,,,,,,,org/net ,long
soep-is,h,hlf0052,,,,hlf0052,,,,,,,org/net ,long
soep-is,h,hlf0053,,,,hlf0053,,,,,,,org/net ,long
soep-is,h,hlf0054,,,,hlf0054,,,,,,,org/net ,long
soep-is,h,hlf0055,,,,hlf0055,,,,,,,org/net ,long
soep-is,h,hlf0056,,,,hlf0056,,,,,,,org/net ,long
soep-is,h,hlf0057,,,,hlf0057,,,,,,,org/net ,long
soep-is,h,hlf0058,,,,hlf0058,,,,,,,org/net ,long
soep-is,h,hlf0059,,,,hlf0059,,,,,,,org/net ,long
soep-is,h,hlf0069,,,,hlf0069,,,,,,,org/net ,long
soep-is,h,hlf0071,,,,hlf0071,,,,,,,org/net ,long
soep-is,h,hlf0072,,,,hlf0072,,,,,,,org/net ,long
soep-is,h,hlf0073,,,,hlf0073,,,,,,,org/net ,long
soep-is,h,hlf0074,,,,hlf0074,,,,,,,org/net ,long
soep-is,h,hlf0075,,,,hlf0075,,,,,,,org/net ,long
soep-is,h,hlf0076,,,,hlf0076,,,,,,,org/net ,long
soep-is,h,hlf0077,,,,hlf0077,,,,,,,org/net ,long
soep-is,h,hlf0078,,,,hlf0078,,,,,,,org/net ,long
soep-is,h,hlf0079,,,,hlf0079,,,,,,,org/net ,long
soep-is,h,hlf0080,,,,hlf0080,,,,,,,org/net ,long
soep-is,h,hlf0081,,,,hlf0081,,,,,,,org/net ,long
soep-is,h,hlf0082,,,,hlf0082,,,,,,,org/net ,long
soep-is,h,hlf0083,,,,hlf0083,,,,,,,org/net ,long
soep-is,h,hlf0084,,,,hlf0084,,,,,,,org/net ,long
soep-is,h,hlf0087,,,,hlf0087,,,,,,,org/net ,long
soep-is,h,hlf0088,,,,hlf0088,,,,,,,org/net ,long
soep-is,h,hlf0089,,,,hlf0089,,,,,,,org/net ,long
soep-is,h,hlf0090,,,,hlf0090,,,,,,,org/net ,long
soep-is,h,hlf0091,,,,hlf0091,,,,,,,org/net ,long
soep-is,h,hlf0092,,,,hlf0092,,,,,,,org/net ,long
soep-is,h,hlf0093,,,,hlf0093,,,,,,,org/net ,long
soep-is,h,hlf0094,,,,hlf0094,,,,,,,org/net ,long
soep-is,h,hlf0095,,,,hlf0095,,,,,,,org/net ,long
soep-is,h,hlf0096,,,,hlf0096,,,,,,,org/net ,long
soep-is,h,hlf0105,,,,hlf0105,,,,,,,org/net ,long
soep-is,h,hlf0106,,,,hlf0106,,,,,,,org/net ,long
soep-is,h,hlf0107,,,,hlf0107,,,,,,,org/net ,long
soep-is,h,hlf0109,,,,hlf0109,,,,,,,org/net ,long
soep-is,h,hlf0110,,,,hlf0110,,,,,,,org/net ,long
soep-is,h,hlf0111,,,,hlf0111,,,,,,,org/net ,long
soep-is,h,hlf0112,,,,hlf0112,,,,,,,org/net ,long
soep-is,h,hlf0113,,,,hlf0113,,,,,,,org/net ,long
soep-is,h,hlf0114,,,,hlf0114,,,,,,,org/net ,long
soep-is,h,hlf0115,,,,hlf0115,,,,,,,org/net ,long
soep-is,h,hlf0116,,,,hlf0116,,,,,,,org/net ,long
soep-is,h,hlf0117,,,,hlf0117,,,,,,,org/net ,long
soep-is,h,hlf0118,,,,hlf0118,,,,,,,org/net ,long
soep-is,h,hlf0119,,,,hlf0119,,,,,,,org/net ,long
soep-is,h,hlf0120,,,,hlf0120,,,,,,,org/net ,long
soep-is,h,hlf0121,,,,hlf0121,,,,,,,org/net ,long
soep-is,h,hlf0122,,,,hlf0122,,,,,,,org/net ,long
soep-is,h,hlf0123,,,,hlf0123,,,,,,,org/net ,long
soep-is,h,hlf0124,,,,hlf0124,,,,,,,org/net ,long
soep-is,h,hlf0125,,,,hlf0125,,,,,,,org/net ,long
soep-is,h,hlf0126,,,,hlf0126,,,,,,,org/net ,long
soep-is,h,hlf0127,,,,hlf0127,,,,,,,org/net ,long
soep-is,h,hlf0128,,,,hlf0128,,,,,,,org/net ,long
soep-is,h,hlf0129,,,,hlf0129,,,,,,,org/net ,long
soep-is,h,hlf0130,,,,hlf0130,,,,,,,org/net ,long
soep-is,h,hlf0131,,,,hlf0131,,,,,,,org/net ,long
soep-is,h,hlf0132,,,,hlf0132,,,,,,,org/net ,long
soep-is,h,hlf0135,,,,hlf0135,,,,,,,org/net ,long
soep-is,h,hlf0136,,,,hlf0136,,,,,,,org/net ,long
soep-is,h,hlf0137,,,,hlf0137,,,,,,,org/net ,long
soep-is,h,hlf0138,,,,hlf0138,,,,,,,org/net ,long
soep-is,h,hlf0139,,,,hlf0139,,,,,,,org/net ,long
soep-is,h,hlf0140,,,,hlf0140,,,,,,,org/net ,long
soep-is,h,hlf0141,,,,hlf0141,,,,,,,org/net ,long
soep-is,h,hlf0142,,,,hlf0142,,,,,,,org/net ,long
soep-is,h,hlf0143,,,,hlf0143,,,,,,,org/net ,long
soep-is,h,hlf0144,,,,hlf0144,,,,,,,org/net ,long
soep-is,h,hlf0145,,,,hlf0145,,,,,,,org/net ,long
soep-is,h,hlf0146,,,,hlf0146,,,,,,,org/net ,long
soep-is,h,hlf0147,,,,hlf0147,,,,,,,org/net ,long
soep-is,h,hlf0148,,,,hlf0148,,,,,,,org/net ,long
soep-is,h,hlf0149,,,,hlf0149,,,,,,,org/net ,long
soep-is,h,hlf0150,,,,hlf0150,,,,,,,org/net ,long
soep-is,h,hlf0151,,,,hlf0151,,,,,,,org/net ,long
soep-is,h,hlf0152,,,,hlf0152,,,,,,,org/net ,long
soep-is,h,hlf0153,,,,hlf0153,,,,,,,org/net ,long
soep-is,h,hlf0154,,,,hlf0154,,,,,,,org/net ,long
soep-is,h,hlf0155,,,,hlf0155,,,,,,,org/net ,long
soep-is,h,hlf0159,,,,hlf0159,,,,,,,org/net ,long
soep-is,h,hlf0163,,,,hlf0163,,,,,,,org/net ,long
soep-is,h,hlf0164,,,,hlf0164,,,,,,,org/net ,long
soep-is,h,hlf0165,,,,hlf0165,,,,,,,org/net ,long
soep-is,h,hlf0166,,,,hlf0166,,,,,,,org/net ,long
soep-is,h,hlf0167,,,,hlf0167,,,,,,,org/net ,long
soep-is,h,hlf0168,,,,hlf0168,,,,,,,org/net ,long
soep-is,h,hlf0169,,,,hlf0169,,,,,,,org/net ,long
soep-is,h,hlf0170,,,,hlf0170,,,,,,,org/net ,long
soep-is,h,hlf0171,,,,hlf0171,,,,,,,org/net ,long
soep-is,h,hlf0172,,,,hlf0172,,,,,,,org/net ,long
soep-is,h,hlf0173,,,,hlf0173,,,,,,,org/net ,long
soep-is,h,hlf0174,,,,hlf0174,,,,,,,org/net ,long
soep-is,h,hlf0175,,,,hlf0175,,,,,,,org/net ,long
soep-is,h,hlf0176,,,,hlf0176,,,,,,,org/net ,long
soep-is,h,hlf0177,,,,hlf0177,,,,,,,org/net ,long
soep-is,h,hlf0178,,,,hlf0178,,,,,,,org/net ,long
soep-is,h,hlf0179,,,,hlf0179,,,,,,,org/net ,long
soep-is,h,hlf0180,,,,hlf0180,,,,,,,org/net ,long
soep-is,h,hlf0181,,,,hlf0181,,,,,,,org/net ,long
soep-is,h,hlf0182,,,,hlf0182,,,,,,,org/net ,long
soep-is,h,hlf0183,,,,hlf0183,,,,,,,org/net ,long
soep-is,h,hlf0184,,,,hlf0184,,,,,,,org/net ,long
soep-is,h,hlf0185,,,,hlf0185,,,,,,,org/net ,long
soep-is,h,hlf0186,,,,hlf0186,,,,,,,org/net ,long
soep-is,h,hlf0187,,,,hlf0187,,,,,,,org/net ,long
soep-is,h,hlf0188,,,,hlf0188,,,,,,,org/net ,long
soep-is,h,hlf0189,,,,hlf0189,,,,,,,org/net ,long
soep-is,h,hlf0190,,,,hlf0190,,,,,,,org/net ,long
soep-is,h,hlf0191,,,,hlf0191,,,,,,,org/net ,long
soep-is,h,hlf0192,,,,hlf0192,,,,,,,org/net ,long
soep-is,h,hlf0193,,,,hlf0193,,,,,,,org/net ,long
soep-is,h,hlf0194,,,,hlf0194,,,,,,,org/net ,long
