study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,MEM12_IS,mem0905ag,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905ah,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905ai,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905aj,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905b,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905c,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905d,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905e,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905f,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905g,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905h,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905i,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905j,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0906a,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906aa,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906ab,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906ac,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906ad,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906ae,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906af,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906ag,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906ah,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906ai,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906aj,,,soep-is-2012-aufwuchs,mem0906a,Q200,mem0906a,,,,,,
soep-is,MEM12_IS,mem0906b,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906c,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906d,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906e,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906f,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906g,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906h,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906i,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0906j,,,soep-is-2012-aufwuchs,mem0906,Q199,mem0906,,,,,,
soep-is,MEM12_IS,mem0907a,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907aa,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907ab,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907ac,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907ad,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907ae,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907af,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907ag,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907ah,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907ai,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907aj,,,soep-is-2012-aufwuchs,mem0907a,Q200,mem0907a,,,,,,
soep-is,MEM12_IS,mem0907b,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907c,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907d,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907e,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907f,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907g,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907h,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907i,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
soep-is,MEM12_IS,mem0907j,,,soep-is-2012-aufwuchs,mem0907,Q199,mem0907,,,,,,
